Channel,Video ID,Title,Published,Views,Likes,Comments,Duration,sentiment,confidence,positive_score,neutral_score,negative_score
ABC News,n6soopF2Cs8,What Andrew being stripped of 'prince' title means for royal family,2025-10-31T14:53:12Z,7963,79,41,PT2M29S,NEUTRAL,0.7818337678909302,0.022063372656702995,0.7818337678909302,0.19610285758972168
ABC News,qyfZfot-SD8,"Orville Peck discuss new music, becoming a 'Street Fighter' on film",2025-10-31T14:46:42Z,96101,62,20,PT3M35S,NEUTRAL,0.8909735083580017,0.10310147702693939,0.8909735083580017,0.0059249973855912685
ABC News,NUwTyWGNWeU,Furloughed worker on 'really painful' experience of FAA employees,2025-10-31T14:45:17Z,2496,25,18,PT3M31S,NEGATIVE,0.7926592826843262,0.008521674200892448,0.19881899654865265,0.7926592826843262
ABC News,kSTpOWMC10I,5 arrested in deaths of Robert De Niro's grandson and Chris Stein's daughter,2025-10-31T14:10:02Z,12184,68,75,PT1M11S,NEUTRAL,0.6399122476577759,0.015634872019290924,0.6399122476577759,0.3444528579711914
ABC News,29tcTJfzgU4,"YouTube TV, Disney at impasse",2025-10-31T13:49:06Z,27717,166,171,PT2M45S,NEUTRAL,0.6722898483276367,0.09209606051445007,0.6722898483276367,0.23561415076255798
ABC News,eClPv6uKkww,Paramilitary group RSF seizes control of key city in Sudan,2025-10-31T13:34:37Z,16105,61,27,PT1M32S,NEUTRAL,0.6599698662757874,0.01897672936320305,0.6599698662757874,0.3210534453392029
ABC News,k3RN9WXaKKU,Where do negotiations stand as SNAP benefits set to expire?,2025-10-31T12:05:57Z,29764,165,336,PT2M32S,NEUTRAL,0.8641866445541382,0.022248558700084686,0.8641866445541382,0.11356475204229355
ABC News,AbccY2aCC54,Deadly storm hits Northeast,2025-10-31T12:04:53Z,13933,98,13,PT1M55S,NEGATIVE,0.7435845732688904,0.018627937883138657,0.23778745532035828,0.7435845732688904
ABC News,g_A9SlhfWd8,"JetBlue flight makes emergency landing after plane loses altitude, passengers injured",2025-10-31T11:00:03Z,18421,93,18,PT1M20S,NEGATIVE,0.657218873500824,0.010239790193736553,0.332541286945343,0.657218873500824
ABC News,mziL2cEXfjA,"Prince Andrew has been stripped of his ""prince"" title, Buckingham Palace announces",2025-10-31T10:56:36Z,29778,452,34,PT1M11S,NEUTRAL,0.7604898810386658,0.01675492711365223,0.7604898810386658,0.22275523841381073
ABC News,j4chhx_9y9g,Dad released from ICE custody reunites with cancer-stricken daughter,2025-10-31T10:33:07Z,3230,35,42,PT1M44S,NEUTRAL,0.7909266352653503,0.0745755285024643,0.7909266352653503,0.13449785113334656
ABC News,XBUShwrjEpE,"Nightline Full Broadcast — Thursday, October 30, 2025",2025-10-31T10:00:58Z,10865,56,2,PT18M58S,NEUTRAL,0.929984986782074,0.0656370148062706,0.929984986782074,0.004378028213977814
ABC News,A85aLYBT3JA,Trump pushes 'nuclear option' to end government shutdown,2025-10-31T09:40:58Z,1265862,8555,5103,PT2M58S,NEUTRAL,0.8617368936538696,0.06588271260261536,0.8617368936538696,0.072380430996418
ABC News,L2KJ67kXN4g,The Shutdown’s Scariest Weekend Yet,2025-10-31T09:35:14Z,8558,242,43,PT25M27S,NEGATIVE,0.9162408113479614,0.009813052602112293,0.07394610345363617,0.9162408113479614
ABC News,-jBlc9bhTTQ,Coffee shop raises more than $184K for free breakfast for SNAP recipients,2025-10-31T08:23:38Z,434431,2921,573,PT2M1S,POSITIVE,0.8020796775817871,0.8020796775817871,0.19485169649124146,0.0030686273239552975
ABC News,i24axc6w7KU,King Charles strips Andrew of royal titles and evicts him from royal residence,2025-10-31T05:13:14Z,336288,2663,901,PT7M26S,NEUTRAL,0.5732291340827942,0.016784759238362312,0.5732291340827942,0.40998610854148865
ABC News,aaz4C4ywBJ4,"ABC News Prime: October 30, 2025",2025-10-31T04:33:08Z,95465,391,56,PT47M20S,NEUTRAL,0.9046058058738708,0.08816689252853394,0.9046058058738708,0.007227294147014618
ABC News,odoXVj-Wk2U,ABC News’ Deborah Roberts on her new book ‘Sisters Loved and Treasured’,2025-10-31T04:01:14Z,1934,28,2,PT14M6S,POSITIVE,0.6363607048988342,0.6363607048988342,0.3602443337440491,0.0033949529752135277
ABC News,wDoHzU7yFec,"LIVE: ABC News Live - Thursday, October 30 | ABC News",2025-10-31T03:27:41Z,55016,281,0,PT11H55M,NEUTRAL,0.8924726843833923,0.10281931608915329,0.8924726843833923,0.0047079818323254585
ABC News,ZSYhdiN5iRc,"The disappearing federal paychecks, food benefits and health care tax credits",2025-10-31T03:18:18Z,56712,484,209,PT7M6S,NEUTRAL,0.5457273125648499,0.05688956379890442,0.5457273125648499,0.3973831534385681
ABC News,xYIGBs1FSdE,Nuclear expert warns against US weapons testing: ‘Other countries will follow’,2025-10-31T03:08:38Z,115503,1004,1036,PT3M47S,NEGATIVE,0.50783771276474,0.011265221983194351,0.48089706897735596,0.50783771276474
ABC News,co7Oh0hHIkw,King Charles strips all of Prince Andrew's royal titles amid Epstein scandal,2025-10-31T03:00:47Z,58209,295,179,PT3M8S,NEUTRAL,0.815742552280426,0.023120740428566933,0.815742552280426,0.16113664209842682
ABC News,VmvG8V8g6lU,Andrew Cuomo talks about the state of NYC mayoral race,2025-10-31T02:42:54Z,21346,118,168,PT23M,NEUTRAL,0.9150452017784119,0.07352285832166672,0.9150452017784119,0.011431995779275894
ABC News,LkV16GTozxI,"ABC World News Tonight with David Muir Full Broadcast - Oct. 30, 2025",2025-10-31T02:12:52Z,1768710,13028,1766,PT19M54S,NEUTRAL,0.9056411385536194,0.09131219983100891,0.9056411385536194,0.003046694677323103
ABC News,gYYw_LTPRjk,Trumps host Halloween celebration at the White House,2025-10-31T01:24:51Z,49374,432,160,PT1M48S,NEUTRAL,0.8123072981834412,0.13936349749565125,0.8123072981834412,0.048329200595617294
ABC News,_TNHtPwQoJs,"Over 5,000 flights delayed or canceled after dangerous storm slams Northeast",2025-10-31T01:15:05Z,68566,114,11,PT2M23S,NEGATIVE,0.6426081657409668,0.012332276441156864,0.34505948424339294,0.6426081657409668
ABC News,99PNkFDiTpw,Virginia teacher shot by 6-year-old student testifies: 'I thought I had died',2025-10-31T01:00:09Z,14336,59,30,PT1M55S,NEGATIVE,0.7027871012687683,0.010184057056903839,0.28702884912490845,0.7027871012687683
ABC News,bMDuSm9bROc,"Torrential rain brings floods to New York, New Jersey",2025-10-30T23:43:22Z,39753,470,61,PT58S,NEGATIVE,0.48859867453575134,0.022964807227253914,0.4884365499019623,0.48859867453575134
ABC News,FWoqcx-eRfQ,"Relief effort underway in Kingston, Jamaica, after Hurricane Melissa",2025-10-30T23:23:25Z,28543,661,39,PT1M42S,NEUTRAL,0.885376513004303,0.08537614345550537,0.885376513004303,0.0292473416775465
ABC News,IvV-P7YqwcA,New arrests in connection with Louvre jewelry heist,2025-10-30T23:00:22Z,18495,204,4,PT37S,NEUTRAL,0.7818092703819275,0.03602296859025955,0.7818092703819275,0.18216773867607117
ABC News,2pCp8uF5kSM,Why does Trump want the Pentagon to conduct nuclear tests?,2025-10-30T22:58:19Z,30511,236,198,PT3M41S,NEUTRAL,0.5356969237327576,0.019257577136158943,0.5356969237327576,0.44504550099372864
ABC News,m3e_1ft13Yg,President Trump and Melania pass out candy for Halloween at the White House,2025-10-30T22:48:36Z,18418,431,195,PT44M50S,NEUTRAL,0.6857197880744934,0.3056063950061798,0.6857197880744934,0.008673826232552528
ABC News,i-ONpZY0axY,Dog owner uses smelly socks to lure lost pet back home,2025-10-30T22:46:38Z,12015,134,4,PT1M49S,NEGATIVE,0.6823111772537231,0.01504920981824398,0.30263957381248474,0.6823111772537231
ABC News,T3d-4k7z60c,Detroit police officer caught without pants during video court hearing,2025-10-30T22:31:34Z,21354,140,15,PT35S,NEUTRAL,0.6790567636489868,0.01957317627966404,0.6790567636489868,0.30137011408805847
ABC News,6DXwIsTEz0c,Policeman caught without pants on court video call,2025-10-30T22:30:34Z,9249,79,25,PT2M37S,NEUTRAL,0.6219404339790344,0.02118217758834362,0.6219404339790344,0.3568773567676544
ABC News,K6GXgLaXEdI,"Prince Andrew stripped of his 'prince' title, per Buckingham Palace",2025-10-30T20:39:31Z,102214,784,650,PT3M46S,NEUTRAL,0.8939669132232666,0.0187896266579628,0.8939669132232666,0.08724348992109299
ABC News,jHAiliLYAvw,"Michelle Obama: The Style, The Power, The Look – A Conversation with Robin Roberts - Trailer",2025-10-30T19:51:14Z,14384,155,31,PT1M42S,NEUTRAL,0.8374155163764954,0.1565154790878296,0.8374155163764954,0.00606897147372365
ABC News,E-oQFUk2Xbg,"'Americans shouldn’t be afraid to fly during shutdown,' VP Vance says",2025-10-30T18:56:56Z,57878,60,165,PT6M59S,NEUTRAL,0.8066015839576721,0.1593960076570511,0.8066015839576721,0.03400246053934097
ABC News,kbQzzx6UBrQ,"Good Morning America Full Broadcast —  Thursday, October 30, 2025",2025-10-30T17:30:12Z,65495,465,73,PT1H10M36S,POSITIVE,0.5880115628242493,0.5880115628242493,0.40862250328063965,0.003365983720868826
ABC News,gnYX1eikn_0,Progressive congressional candidate indicted in connection with ICE protest,2025-10-30T16:47:37Z,10468,158,280,PT2M56S,NEGATIVE,0.5686381459236145,0.015322278253734112,0.4160395562648773,0.5686381459236145
ABC News,FvYiuf8IdnI,Coyote attacks 9-year-old playing hide-and-seek in Oregon,2025-10-30T16:41:53Z,21278,82,78,PT1M35S,NEGATIVE,0.5623998641967773,0.015879908576607704,0.42172014713287354,0.5623998641967773
ABC News,p1aBRwr3bWU,"Trump directs Pentagon to match Russia, China in nuclear weapons testing",2025-10-30T16:29:05Z,10252,71,103,PT4M46S,NEUTRAL,0.8483144044876099,0.057149872183799744,0.8483144044876099,0.09453567862510681
ABC News,vFARRwwngrM,'Hard to see' Trump deal with China as 'major win' for US: Expert,2025-10-30T15:10:34Z,11325,39,32,PT5M17S,NEUTRAL,0.7760857939720154,0.10559096932411194,0.7760857939720154,0.11832322180271149
ABC News,Ftx0AEEWVzc,A dentist's survival guide for parents on Halloween candy,2025-10-30T14:16:12Z,23041,26,3,PT3M41S,NEUTRAL,0.8326705694198608,0.12140362709760666,0.8326705694198608,0.045925773680210114
ABC News,X1T2NOw5-94,2 federal prosecutors placed on leave over comments on Jan. 6 defendants: Sources,2025-10-30T13:45:10Z,5807,31,30,PT1M1S,NEUTRAL,0.8199640512466431,0.016912013292312622,0.8199640512466431,0.16312390565872192
ABC News,H_juESofBZY,"Trump, China's Xi Jinping meet face-to-face on trade",2025-10-30T13:30:16Z,5816,34,36,PT1M33S,NEUTRAL,0.9332857131958008,0.04709217697381973,0.9332857131958008,0.019622167572379112
ABC News,x6DEjxjqMG4,Urgent search and recovery underway in Jamaica after Hurricane Melissa,2025-10-30T13:02:04Z,537220,571,97,PT1M29S,NEUTRAL,0.8537604808807373,0.068705715239048,0.8537604808807373,0.07753387093544006
ABC News,VUd8c-Npj8k,SNAP benefits just 2 days away from running out,2025-10-30T12:42:04Z,11764,111,200,PT1M7S,NEUTRAL,0.5720117688179016,0.16265007853507996,0.5720117688179016,0.26533815264701843
ABC News,rn73_QHQtHc,Hundreds reportedly killed at hospital by Sudan’s paramilitary,2025-10-30T11:05:04Z,33956,601,71,PT1M5S,NEGATIVE,0.8311492204666138,0.006866770796477795,0.16198398172855377,0.8311492204666138
ABC News,8p78oxIhiCs,AI company bans minors from using chatbots after teen’s suicide,2025-10-30T10:50:00Z,3665,71,42,PT1M52S,NEGATIVE,0.7972623705863953,0.00562154408544302,0.19711606204509735,0.7972623705863953
ABC News,ugpfgbDo-Ew,"Nightline Full Broadcast — Wednesday, October 29, 2025",2025-10-30T10:01:42Z,2424,27,3,PT18M27S,NEUTRAL,0.9291907548904419,0.06654023379087448,0.9291907548904419,0.00426895497366786
ABC News,_-PwI9a5aHc,Tensions flare among lawmakers as SNAP benefits set to halt,2025-10-30T09:49:45Z,33013,246,297,PT1M53S,NEGATIVE,0.5967452526092529,0.015621951781213284,0.3876327872276306,0.5967452526092529
ABC News,tkp_WGe0ed8,The Caribbean Death Toll is Rising,2025-10-30T09:55:06Z,7392,50,4,PT23M33S,NEGATIVE,0.8225422501564026,0.009424698539078236,0.16803301870822906,0.8225422501564026
ABC News,cOhwN51tJ3c,"Demi Lovato on her new album, tour and life as a newlywed",2025-10-30T07:01:38Z,61699,593,61,PT7M44S,NEUTRAL,0.8062594532966614,0.1880369484424591,0.8062594532966614,0.005703560542315245
ABC News,kOxN4ubAFvI,Trump says some tariffs on China will be lowered after meeting with Xi,2025-10-30T05:49:01Z,192550,496,385,PT4M18S,NEUTRAL,0.8834502100944519,0.09558333456516266,0.8834502100944519,0.020966477692127228
ABC News,pns2Z_vNK-s,Actor Matthew Macfadyen on new Netflix series and life after ‘Succession’,2025-10-30T05:01:03Z,3492,48,5,PT4M20S,NEUTRAL,0.8801109790802002,0.11417599767446518,0.8801109790802002,0.005713009741157293
ABC News,NTFHO4Vf73U,Roy Wood Jr. talks fatherhood and meaning of happiness in new memoir,2025-10-30T04:00:33Z,46163,35,1,PT4M27S,POSITIVE,0.7200672626495361,0.7200672626495361,0.27457743883132935,0.005355268716812134
ABC News,9NbD9pPxzY0,"LIVE: ABC News Live - Wednesday, October 29 | ABC News",2025-10-30T03:25:00Z,75518,328,0,PT11H54M59S,NEUTRAL,0.8922960162162781,0.10310327261686325,0.8922960162162781,0.004600721877068281
ABC News,E9_vEi24o4M,"ABC News Live Prime: October 29, 2025",2025-10-30T03:08:11Z,105779,528,51,PT46M25S,NEUTRAL,0.9159035086631775,0.07752355188131332,0.9159035086631775,0.006572996731847525
ABC News,vf1P-ksBW44,Federal healthcare enrollment set to open as consumers face sticker shock,2025-10-30T03:01:12Z,15918,79,106,PT2M51S,NEUTRAL,0.845050036907196,0.08088498562574387,0.845050036907196,0.07406499981880188
ABC News,cnSpNpMjEuU,"ABC News Live Prime: October 29, 2025",2025-10-30T02:49:32Z,23937,64,5,PT46M25S,NEUTRAL,0.9159035086631775,0.07752355188131332,0.9159035086631775,0.006572996731847525
ABC News,r5dro2vSjHw,Hopes and concerns for future of Israel-Hamas ceasefire,2025-10-30T02:39:28Z,1632,8,3,PT7M29S,NEUTRAL,0.808045506477356,0.15274101495742798,0.808045506477356,0.039213526993989944
ABC News,enfYZNyoUtk,"High-stakes Trump, Xi meeting in South Korea to discuss tariffs, rare earth minerals",2025-10-30T02:36:58Z,235878,669,433,PT4M1S,NEUTRAL,0.8940935134887695,0.06680399179458618,0.8940935134887695,0.039102453738451004
ABC News,T5NwojRjbas,"ABC World News Tonight with David Muir Full Broadcast - Oct. 29, 2025",2025-10-30T02:14:39Z,991876,10720,1253,PT19M47S,NEUTRAL,0.9019069075584412,0.09507737308740616,0.9019069075584412,0.0030156986322253942
ABC News,lWB0lsSPaAM,California Governor Gavin Newsom sits for wide-ranging interview with Jonathan Karl,2025-10-30T01:27:29Z,662898,4084,1232,PT26M42S,NEUTRAL,0.9567872285842896,0.03602493181824684,0.9567872285842896,0.007187883369624615
ABC News,CyP8TuemRiY,Massive police raid in Rio de Janeiro leaves at least 121 people dead,2025-10-30T01:04:58Z,61751,366,101,PT26S,NEGATIVE,0.8349708318710327,0.006929268129169941,0.15809980034828186,0.8349708318710327
ABC News,6vlfo9LsAn0,Hurricane Melissa causes widespread devastation in Caribbean as death toll rises,2025-10-30T00:27:00Z,306617,651,115,PT3M37S,NEGATIVE,0.8883234262466431,0.007397346198558807,0.10427913814783096,0.8883234262466431
ABC News,Ub4qdtK2eC4,Government shutdown triggers food crisis for 40+ million Americans on SNAP benefits,2025-10-30T00:07:05Z,32443,234,274,PT2M21S,NEGATIVE,0.7749833464622498,0.017283014953136444,0.20773360133171082,0.7749833464622498
ABC News,6LwI981O1gw,Former Illinois deputy found guilty of murder in Sonya Massey's death,2025-10-29T23:50:33Z,23643,264,146,PT2M28S,NEGATIVE,0.7275171875953674,0.009182664565742016,0.26330018043518066,0.7275171875953674
ABC News,v2STExo8_nA,"SNAP benefits will run out of money this weekend, USDA says",2025-10-29T23:46:31Z,64014,1857,339,PT2M40S,NEGATIVE,0.5247817635536194,0.018460482358932495,0.45675772428512573,0.5247817635536194
ABC News,ivrt8Q-JGSY,Food banks across the country bracing for a rush as 42 million Americans set to lose SNAP benefits,2025-10-29T23:00:58Z,23077,310,45,PT39S,NEGATIVE,0.5958156585693359,0.024288523942232132,0.3798958361148834,0.5958156585693359
ABC News,bGsr3IY1KtM,Attorneys speak after jury finds Sean Grayson guilty of murdering Sonya Massey,2025-10-29T22:13:05Z,118769,1104,693,PT22M53S,NEUTRAL,0.5062649846076965,0.014040418900549412,0.5062649846076965,0.4796946048736572
ABC News,f4bk0Yk8TM8,The world’s first humanoid robot designed for housekeeping,2025-10-29T22:05:56Z,67076,965,694,PT2M58S,NEUTRAL,0.7483627200126648,0.2423899918794632,0.7483627200126648,0.009247278794646263
ABC News,2AmoJwxqZYY,Fed cuts interest rates for 2nd time this year,2025-10-29T21:53:27Z,44759,388,46,PT48S,NEUTRAL,0.825381338596344,0.08745820075273514,0.825381338596344,0.08716047555208206
ABC News,_EwkqSE9c3Y,LIVE: Sonya Massey's family addresses media,2025-10-29T21:08:51Z,12038,167,51,PT44M18S,NEUTRAL,0.9546667337417603,0.02900291047990322,0.9546667337417603,0.016330379992723465
ABC News,pSpM7yHMwlc,Jury finds ex-deputy guilty of murder in Sonya Massey shooting,2025-10-29T20:04:43Z,880650,3449,1672,PT3M44S,NEGATIVE,0.672004222869873,0.010722975246608257,0.31727275252342224,0.672004222869873
ABC News,D1F9Q5eMpOk,Federal Reserve cuts interest rates by 0.25 percentage points amid slow job market,2025-10-29T18:43:36Z,137228,136,120,PT2M43S,NEUTRAL,0.6984740495681763,0.043185312300920486,0.6984740495681763,0.25834062695503235
ABC News,XI31zl68YTE,More homes fall into ocean along North Carolina’s Outer Banks,2025-10-29T18:40:43Z,19640,197,33,PT50S,NEUTRAL,0.8946648240089417,0.025434544309973717,0.8946648240089417,0.07990061491727829
ABC News,N0FW6R-DhYg,"Good Morning America Full Broadcast —  Wednesday, October 29, 2025",2025-10-29T17:43:13Z,57266,473,69,PT1H9M57S,POSITIVE,0.6316932439804077,0.6316932439804077,0.36520904302597046,0.003097799839451909
ABC News,RnatsevfQJ8,DOJ places on leave prosecutors who said 'mob' of 'rioters' carried out Jan. 6 attack,2025-10-29T16:52:51Z,55075,176,372,PT2M27S,NEGATIVE,0.5280994772911072,0.010051180608570576,0.4618493318557739,0.5280994772911072
ABC News,dBlePin4Js0,"Man with multiple arrest warrants, ICE detainers escapes police while handcuffed",2025-10-29T16:44:30Z,2533,22,16,PT1M19S,NEUTRAL,0.5286272764205933,0.019573692232370377,0.5286272764205933,0.45179903507232666
ABC News,9c41qDOFnPg,Trailer: 20/20 'The Murdaugh Family Murders' - Oct. 31 on ABC,2025-10-29T16:31:11Z,8332,40,9,PT1M9S,NEUTRAL,0.9549840092658997,0.02881230227649212,0.9549840092658997,0.01620369963347912
ABC News,nAuaWL_b4_I,Senate to hold hearing in wake of White House's East Wing demolition,2025-10-29T15:10:02Z,200581,361,496,PT1M9S,NEUTRAL,0.644264280796051,0.01572231389582157,0.644264280796051,0.34001338481903076
ABC News,jqoJLJvm8-U,"Nightline Full Broadcast — Tuesday, October 28, 2025",2025-10-29T15:01:34Z,36478,235,62,PT18M32S,NEUTRAL,0.9321564435958862,0.06349460780620575,0.9321564435958862,0.004348985385149717
ABC News,Dx5V5cZKKps,IDF says it resumed Gaza ceasefire after strikes,2025-10-29T14:40:01Z,5462,33,64,PT3M17S,NEUTRAL,0.7413442134857178,0.20928806066513062,0.7413442134857178,0.04936765506863594
ABC News,FD5Dz6rbu78,Relief organization trying to reach Jamaica in wake of Hurricane Melissa,2025-10-29T14:25:00Z,29025,62,17,PT3M35S,NEUTRAL,0.8782449960708618,0.06823555380105972,0.8782449960708618,0.053519438952207565
ABC News,R9bvJShSCBs,Trump’s Truth Social to launch prediction betting marketplace,2025-10-29T14:10:00Z,8464,18,23,PT1M16S,NEUTRAL,0.853775143623352,0.057807840406894684,0.853775143623352,0.08841697871685028
ABC News,hhdl0GyIKXg,Trump arrives in South Korea ahead of high-stakes meeting with Xi,2025-10-29T13:52:05Z,8004,48,35,PT1M54S,NEUTRAL,0.9004080891609192,0.09152643382549286,0.9004080891609192,0.008065465837717056
ABC News,K2IT034uBhM,Government shutdown: 42 million Americans could lose food benefits,2025-10-29T12:30:27Z,7576,83,230,PT1M31S,NEGATIVE,0.8423792719841003,0.010376200079917908,0.14724455773830414,0.8423792719841003
ABC News,YQHnYpupr20,Hurricane Melissa on the move after slamming Jamaica,2025-10-29T12:15:22Z,477359,373,104,PT1M23S,NEUTRAL,0.8187271356582642,0.05415232479572296,0.8187271356582642,0.1271204799413681
CNN,F5UdJ6z7P2k,"Homeless and alone in NYC, she lived off $200 a month",2025-10-31T23:48:37Z,638957,32933,3012,PT1M42S,NEUTRAL,0.5409067273139954,0.03576706349849701,0.5409067273139954,0.42332616448402405
CNN,oTv9A1iizYE,DNA test reveals doctor's decades of deception,2025-10-31T23:34:10Z,50130,1119,69,PT1M48S,NEGATIVE,0.5040476322174072,0.03710402548313141,0.45884832739830017,0.5040476322174072
CNN,20JpcjkQdHE,A monster shut down schools in this West Virginia town in 1967. Residents still want answers,2025-10-31T23:30:21Z,12418,192,34,PT2M50S,NEGATIVE,0.7933419942855835,0.008441424928605556,0.19821655750274658,0.7933419942855835
CNN,JD5qtj-xIkc,President Trump unveils Lincoln bathroom transformation,2025-10-31T23:20:23Z,307844,1465,1326,PT29S,POSITIVE,0.5444178581237793,0.5444178581237793,0.44914528727531433,0.006436794996261597
CNN,g4vB3ti39xs,Obama to return to campaign trail for Democratic governor candidates,2025-10-31T23:01:02Z,715148,969,906,PT10M16S,NEUTRAL,0.8366522192955017,0.15312881767749786,0.8366522192955017,0.010219013318419456
CNN,xi4GGpw2OFE,Furloughed IRS lawyer runs hot dog stand,2025-10-31T22:44:27Z,173030,11456,639,PT1M15S,NEUTRAL,0.6628533601760864,0.04093484207987785,0.6628533601760864,0.2962118089199066
CNN,o0Fl0ryZZk0,'Everything is a seed of truth': Creator of 'Nobody Wants This' on sisterhood and faith,2025-10-31T21:58:07Z,12023,87,67,PT7M3S,NEUTRAL,0.8112234473228455,0.14279596507549286,0.8112234473228455,0.04598059505224228
CNN,o6zPntZgqw4,'Trump should not be weaponizing hunger': Hakeem Jeffries reacts to SNAP food stamp ruling,2025-10-31T20:47:20Z,36006,498,833,PT9M35S,NEGATIVE,0.5682282447814941,0.018423067405819893,0.4133487045764923,0.5682282447814941
CNN,fioXsmY9se0,Halloween at the White House over the years,2025-10-31T20:43:52Z,28156,342,45,PT51S,NEUTRAL,0.876347005367279,0.11130324006080627,0.876347005367279,0.012349748983979225
CNN,p12Jb_WBgtk,Judges: Trump admin must use emergency funds to pay some SNAP benefits,2025-10-31T20:10:35Z,71744,1412,1168,PT51S,NEUTRAL,0.8644472360610962,0.056376297026872635,0.8644472360610962,0.07917650043964386
CNN,4lphs3GWjWQ,Lifelong national parks worker pays price for shutdown,2025-10-31T20:10:34Z,15233,351,71,PT1M23S,NEUTRAL,0.4807262718677521,0.04479767754673958,0.4807262718677521,0.47447600960731506
CNN,AGdkQWpunG0,Two federal judges rule Trump admin must cover some SNAP benefits,2025-10-31T19:51:21Z,165634,1691,1873,PT10M8S,NEUTRAL,0.8476284146308899,0.08939047157764435,0.8476284146308899,0.06298114359378815
CNN,5YH8Nr6XrWU,‘Pumpkin day’ reference leads FBI to avert a potential terror attack,2025-10-31T19:33:17Z,56529,894,277,PT56S,NEUTRAL,0.7459173202514648,0.06399557739496231,0.7459173202514648,0.19008708000183105
CNN,iTxvGJYwFFM,JetBlue flight makes emergency landing after passengers injured,2025-10-31T19:19:27Z,76706,1236,104,PT59S,NEGATIVE,0.5859251022338867,0.011341255158185959,0.4027336537837982,0.5859251022338867
CNN,LxXUwo158rg,Saving animals in crisis situations,2025-10-31T18:26:02Z,10690,252,11,PT58S,NEUTRAL,0.5595734715461731,0.07987800240516663,0.5595734715461731,0.3605485260486603
CNN,ST1HCjb9Y-c,Civilians gunned down by RSF fighters in Sudan,2025-10-31T18:09:06Z,134902,3052,780,PT2M1S,NEGATIVE,0.7573110461235046,0.008230973966419697,0.23445801436901093,0.7573110461235046
CNN,BGiuYV0DUq0,Speaker Johnson issues warning after Trump says GOP should end the filibuster,2025-10-31T17:59:41Z,1012069,7713,4060,PT8M36S,NEUTRAL,0.8071057200431824,0.025130096822977066,0.8071057200431824,0.16776418685913086
CNN,HVOd4mt4hss,China’s Xi in the limelight as Trump leaves summit early,2025-10-31T17:14:36Z,23046,308,50,PT1M14S,NEUTRAL,0.869747519493103,0.10198358446359634,0.869747519493103,0.02826884761452675
CNN,8UAJDF03PJ0,Pollsters tell Democrats they are winning shutdown debate,2025-10-31T16:54:46Z,559672,15045,3207,PT2M17S,NEUTRAL,0.7165930867195129,0.2447262704372406,0.7165930867195129,0.03868058696389198
CNN,qM33vcTEFbA,Monkey escapes in Halloween store,2025-10-31T16:33:57Z,10295,150,62,PT1M4S,NEUTRAL,0.7903494834899902,0.1683768332004547,0.7903494834899902,0.04127370938658714
